MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2008012802,1,1,1,0.000000,0,0,0,0,王皓,1,12,1,14,1,6,1,4,5,6,7,8
2008012802,1,1,2,6.339002,0,0,0,0,吴尚垠,12,19,14,5,6,7,4,7,6,5,8,3
2008012802,1,1,3,6.339002,0,0,0,0,王皓,19,22,5,16,7,8,7,10,5,6,3,4
2008012802,1,1,4,8.137617,0,0,0,0,吴尚垠,22,21,16,5,8,7,10,7,6,5,4,3
2008012802,1,1,5,8.568891,0,0,0,0,王皓,21,16,5,16,7,6,7,10,5,6,3,4
2008012802,1,1,6,8.976578,0,0,0,0,吴尚垠,16,15,16,3,6,5,10,7,6,5,4,1
2008012802,1,1,7,8.976578,0,0,0,0,王皓,15,16,3,16,5,8,7,10,5,6,1,4
2008012802,1,1,8,10.088730,0,0,0,0,吴尚垠,16,15,16,3,8,5,10,7,6,3,4,1
2008012802,1,1,9,10.088730,0,0,0,0,王皓,15,16,3,16,5,12,7,10,3,10,1,4
2008012802,1,1,10,11.179383,0,0,0,0,吴尚垠,16,25,16,25,12,13,10,13,10,1,4,11
2008012802,1,2,1,11.179383,1,0,0,0,王皓,1,12,1,14,1,6,1,4,5,6,9,8
2008012802,1,2,2,19.057318,1,0,0,0,吴尚垠,12,5,14,9,6,5,4,7,6,5,8,3
2008012802,1,2,3,19.862971,1,0,0,0,王皓,5,10,9,16,5,6,7,10,5,6,3,4
2008012802,1,2,4,20.722404,1,0,0,0,吴尚垠,10,15,16,3,6,5,10,7,6,3,4,1
2008012802,1,2,5,20.722404,1,0,0,0,王皓,15,10,3,16,5,12,7,10,3,6,1,4
2008012802,1,2,6,21.634113,1,0,0,0,吴尚垠,10,9,16,3,12,5,10,7,6,9,4,1
2008012802,1,2,7,21.634113,1,0,0,0,王皓,9,26,3,26,5,14,7,14,9,2,1,12
2008012802,1,3,1,22.374939,1,0,1,0,吴尚垠,2,11,2,13,2,5,2,3,6,5,10,7
2008012802,1,3,2,34.673333,1,0,1,0,王皓,11,12,13,14,5,6,3,12,5,6,7,8
2008012802,1,3,3,35.072948,1,0,1,0,吴尚垠,12,5,14,9,6,5,12,7,6,5,8,3
2008012802,1,3,4,35.518211,1,0,1,0,王皓,5,20,9,6,5,8,7,6,5,6,3,4
2008012802,1,3,5,36.054227,1,0,1,0,吴尚垠,20,21,6,5,8,7,6,5,6,5,4,3
2008012802,1,3,6,36.847136,1,0,1,0,王皓,21,22,5,4,7,10,5,6,5,6,3,2
2008012802,1,3,7,37.551054,1,0,1,0,吴尚垠,22,9,4,3,10,5,6,5,6,1,2,1
